国家,生产厂商
法国,FADS阿斯特哩厄姆公司
中国,中国气象局国家卫星气象中心
美国,阿根廷航天局
美国,阿尔卡特•阿莱尼亚空间公司
英国,萨里卫星技术公司
日本,日本宇宙航空研究开发机构
美国,光谱宇宙有限公司(现为通用动力C4系统公司)
美国,洛克希德·马丁商业空间系统
以色列,以色列飞机制造公司
美国,轨道科学公司
美国,TRW(现为诺斯罗普•格鲁曼公司)
美国,TRW(现为诺斯罗普，格鲁曼公司)
英国,EADS阿斯特里厄姆公司
美国,洛克希德·马丁空间系统公司
美国,阿尔卡特空间公司
苏/俄,泛俄罗斯机电研究所
印度,印度空间研究组织卫星中心
美国,波音空间和智能系统公司
法国,阿尔卡特空间技术公司
苏/俄,俄罗斯科学院地磁、电离层和电波传播研究所（IZMIRAN），马克耶夫联邦火箭中心
苏/俄,NPO PM
中国,阿尔卡特航天公司
美国,泰利斯·阿莱尼亚航天公司
西班牙,阿尔卡特航天公司
美国,巴尔航天公司
苏/俄,NPOPM
欧盟,萨里卫星技术有限公司
日本,NFC／休斯空间和通信公司
加拿大,波音卫星系统
阿联酋,EADS阿斯特里厄姆公司
卢森堡,洛克希德·马丁商业空间系统
欧盟,EADS阿斯特里厄姆公司
美国,摩托罗拉公司，洛克希德太空系统分部
英国,FADS阿斯特里厄姆公司
日本,洛克希德·马丁商业太空系统分部
巴西,休斯空间和通信公司
法国,法国宇航公司
美国,波音卫星系统
印度,ISRO／ISRO卫星中心
美国,休斯公司(后来并入波音公司)
美国,EADS阿斯特里厄姆公司
日本,轨道科学公司
加拿大,洛克希德·马丁公司商业空间系统
阿根廷,法国宇航公司
荷兰,阿尔卡特航天公司
埃及,EADS阿斯特里厄姆公司
日本,日本三菱电机股份有限公司
美国,波音空间和情报系统公司
马来西亚,波音公司
英国,阿尔卡特航天公司、空间系统公司/劳拉公司
中国,中国航天科技集团公司东方红卫星公司
中国,泰利斯·阿莱尼亚航天公司
中国,中国航天科技集团
苏/俄,列舍特涅夫应用力学科研生产联合体
法国,EADS阿斯特里厄姆公司
中国,上海航天技术研究院
美国,美国休斯空间和通信公司(现在的波音公司)
美国,波音卫星系统公司
印度,洛克希德·马丁商业公司系统商业空间系统
美国,洛克希德·马丁导弹和空间系统公司
法国,泰利斯·阿莱尼亚航天公司
美国,仙童空间有限公司
英国,英国萨里卫星技术公司，奎内蒂克公司
泰国,阿尔R特·阿莱尼亚空间公司
日本,洛克希德·马丁公司商业空间系统
美国,NASA哥达德航天中心
美国,美国航空航天局戈达德航天飞行中心
美国,波音公司
挪威,休斯空间通信公司(现在的波音公司)
中国,中国资源卫星应用中心，巴西空间研究院
克罗地亚,IM金属工业公司
苏/俄,俄罗斯伊热夫斯克兵工厂
捷克,Ceska Zbrojovka
美国,I.M. 金属工厂
美国,比利时国营赫斯塔尔公司(FN公司)
德国,德意志武器弹药公司
美国,美国L.A.R.公司
日本,弥勒公司（Miroku）
西班牙,西班牙阿斯特拉公司
德国,德国弗里德里希·皮克特公司
德国,德国亚米纽斯公司
法国,法国曼纽因公司
巴西,巴西陶鲁斯公司
苏/俄,前俄国图拉兵工厂、伊热夫斯克机械厂
美国,史密斯-韦森公司
以色列,以色列军事工业
德国,德国瓦尔特公司
德国,德国卡尔·瓦尔特公司
以色列,以色列军事工业公司
波兰,Łucznik Arms Factory（Łucznik武器工厂）
意大利,意大利伯莱塔公司
苏/俄,伊热夫斯克机械厂（苏联/俄罗斯），保加利亚兵工厂 （保加利亚），北方工业 （中国）
德国,德国西格-绍尔公司
苏/俄,NIITOCHMASH（中央精密机械研究所）
意大利,意大利伯纳德利公司
美国,柯尔特公司
苏/俄,伊热夫斯克机械厂
意大利,意大利伯菜塔公司
苏/俄,中央精密机械工程研究院
西班牙,西班牙加比隆多公司
英国,韦伯利公司
美国,宪章武器公司（Charter Arms）
英国,英国韦伯利公司
英国,英国韦布利-斯科特公司
英国,英国韦布利斯科特公司及欧美各国军火商
英国,英国皇家恩菲尔德武器厂
比利时,比利时FN公司
美国,GMC
美国,酷楠武器公司（Coonan Inc）
美国,美国鲁格-斯特姆公司
德国,赫克勒-科赫有限公司
德国,赫克勒-科赫机械制造厂
美国,鲁格-斯特姆公司
德国,毛瑟公司
德国,毛瑟工厂
德国,奥地利斯太尔曼利夏公司，德国布鲁加·托梅公司
奥地利,奥地利斯太尔曼利夏公司
美国,萨维奇公司
德国,毛瑟有限公司
奥地利,奥地利格洛克公司
美国,美国史密斯-韦森公司
乌克兰,乌克兰Fort工厂
西班牙,阿斯特拉公司
美国,斯普林菲尔德公司
德国,德国武器及弹药兵工厂 
美国,阿卡迪亚机器和工具公司（AMT）
英国,英国特别行动队的工厂，BSA公司
阿根廷,阿根廷希斯潘诺公司
西班牙,西班牙斯塔-博尼法齐厄谢弗里亚公司
巴西,巴西军用物资工业公司（IMBLE）
美国,美国鲁格公司
瑞士,西格-绍尔公司
加拿大,加拿大帕拉军械公司
瑞士,瑞士工业公司(SIG公司) 德国绍尔父子有限公司
瑞士,西格-绍尔公司以及美国Swiss Arms公司
保加利亚,保加利亚阿尔克斯公司
瑞士,瑞士工业公司德国绍尔公司
巴西,巴西陶鲁斯国际制造公司
瑞士,西格公司
美国,H&R有限责任公司（哈灵顿和理查德森）
瑞士,西格公司（瑞士轻武器公司）
美国,霍普金斯-阿伦武器公司（Hopkins&Allen Arms）
南非,南非丹尼尔地面系统公司（DLS）
塞尔维亚,前南斯拉夫扎斯塔瓦武器公司
瑞士,SIG公司德国绍尔父子公司
瑞士,瑞士司芬尼克斯公司
美国,美国柯尔特制造公司
比利时,FN赫斯塔尔公司
奥地利,施泰尔-曼利夏有限公司
德国,德国毛瑟兵工厂
巴西,巴西军用设备工业公司
意大利,意大利伯莱塔公司(意大利，Gardone VT)
阿根廷,阿根廷国营轻武器公司
西班牙,斯塔-博尼法乔厄谢弗里亚公司(西班牙，伊巴）
意大利,意大利伯莱塔公司(意大利，Gardone VT）
加拿大,帕拉军工
克罗地亚,LM-METAL-公司
苏/俄,伊热夫斯克机器厂(俄罗斯，莫斯科)
韩国,大宇通信有限责任公司(韩国，釜山)
克罗地亚,IM-METAL公司
瑞士,ASAI集团公司(瑞士，索洛图恩)
意大利,意大利伯莱塔公司(意大利，GardoneVT)
苏/俄,中央精密机械工程研究院(俄罗斯，莫斯科)
波兰,Zaklady Metalowe Lucznik SA公司(波兰，拉多姆)
美国,柯尔特制造有限公司(美国，康涅狄格州)
德国,黑克勒-科赫公司
希腊,赫勒依克军事工业公司
